Song,Artist,Weeks On Chart,Peak Rank
470,A.M.,One Direction,0,94
471,Temporary Fix,One Direction,0,96
472,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,20,20
473,Trust,Justin Bieber,0,98
474,Never Enough,One Direction,4,88
475,When We Were Young,Adele,20,14
476,Water Under The Bridge,Adele,22,26
477,Send My Love (To Your New Lover),Adele,27,8
478,Remedy,Adele,0,87
479,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,19,38
480,Best Friend,Young Thug,20,45
481,Rich $ex,Future,0,100
482,Down In The DM,Yo Gotti Featuring Nicki Minaj,21,13
483,One Call Away,Charlie Puth,26,12
484,I'd Just Love To Lay You Down,Barrett Baber,0,92
485,Daddy,PSY Featuring CL,0,97
486,Girls Just Want To Have Fun,Madi Davis,0,98
487,Somebody To Love,Jordan Smith,2,21
488,Rockin' Around The Christmas Tree,Brenda Lee,27,9
489,Hands To Myself,Selena Gomez,20,7
490,Dessert,Dawin,11,68
491,Backroad Song,Granger Smith,16,49
492,Random,G-Eazy,0,94
493,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,0,98
494,Mary Did You Know,Jordan Smith,0,24
495,Back To Sleep,Chris Brown,20,20
496,You Should Be Here,Cole Swindell,20,31
497,Climb Every Mountain,Jordan Smith,0,72
498,Good To Be Alive (Hallelujah),Andy Grammer,10,62
499,God Only Knows,Jordan Smith & Adam Levine,0,90
500,Sorry Not Sorry,Demi Lovato,36,6
501,Hollow,Tori Kelly,11,68
502,The Christmas Song (Merry Christmas To You),Nat King Cole,17,11
503,Jingle Bell Rock,Bobby Helms,25,8
504,Zero,Chris Brown,2,80
505,Little More (Royalty),Chris Brown,0,91
506,Really Really,Kevin Gates,26,46
507,Let It Go,James Bay,34,16
508,Stick Talk,Future,2,91
509,Get Ugly,Jason Derulo,12,52
510,Watch Out,2 Chainz,11,64
511,Mr. Misunderstood,Eric Church,5,84
512,Break On Me.,Keith Urban,12,54
513,Confession,Florida Georgia Line,20,53
514,Out Of The Woods,Taylor Swift,10,44
515,Heartbeat,Carrie Underwood,14,42
516,Oui,Jeremih,27,19
517,2 Phones,Kevin Gates,25,17
518,Nobody To Blame,Chris Stapleton,15,68
519,Lazarus,David Bowie,0,40
520,Space Oddity,David Bowie,15,42
521,Under Pressure,Queen & David Bowie,16,45
522,Blackstar,David Bowie,0,78
523,Drunk On Your Love,Brett Eldredge,15,35
524,Bang My Head,David Guetta Featuring Sia & Fetty Wap,6,76
525,I Took A Pill In Ibiza,Mike Posner,37,4
526,Walking On A Dream,Empire Of The Sun,5,65
527,Victorious,Panic! At The Disco,4,89
528,Death Of A Bachelor,Panic! At The Disco,0,92
529,Middle,DJ Snake Featuring Bipolar Sunshine,21,20
530,7 Years,Lukas Graham,36,2
531,Lean & Dabb,iLoveMemphis,0,98
532,Work,Rihanna Featuring Drake,36,1
533,Bake Sale,Wiz Khalifa Featuring Travi$ Scott,2,56
534,Something In The Way You Move,Ellie Goulding,10,43
535,I Like The Sound Of That,Rascal Flatts,16,52
536,My Church,Maren Morris,20,50
537,Country Nation,Brad Paisley,2,94
538,Humble And Kind,Tim McGraw,20,30
539,Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,0,97
540,Somewhere On A Beach,Dierks Bentley,20,35
541,Snapback,Old Dominion,20,50
542,Pillowtalk,Zayn,24,1
543,Summer Sixteen,Drake,14,6
544,Hymn For The Weekend,Coldplay,23,25
545,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,24,9
546,Youth,Troye Sivan,18,23
547,Needed Me,Rihanna,45,7
548,Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",0,97
549,Low Life,Future Featuring The Weeknd,35,18
550,Fly S**t Only,Future,0,67
551,Jimmy Choo,Fetty Wap,11,65
552,Ophelia,The Lumineers,12,66
553,Don't Let Me Down,The Chainsmokers Featuring Daya,52,3
554,Whisper,Chase Rice,0,94
555,Little Bit Of You,Chase Bryant,11,71
556,Make Me Like You,Gwen Stefani,5,54
557,All I Ask,Adele,0,77
558,Cheap Thrills,Sia Featuring Sean Paul,52,1
559,Never Forget You,Zara Larsson & MNEK,23,13
560,Might Be,DJ Luke Nasty,10,78
561,Think Of You,Chris Young Duet With Cassadee Pope,20,40
562,Promise,Kid Ink Featuring Fetty Wap,14,57
563,That Don't Sound Like You,Lee Brice,11,64
564,Lost Boy,Ruth B,22,24
565,Mind Reader,Dustin Lynch,16,57
